year,year_start,icd_chapter,fce,admissions,emergency,waiting_list,planned,male,female,emergency_ratio
2011-12,2011,Ch.XV  Pregnancy & childbirth,1376214.0,1338056.0,145018.0,84073.0,0.0,23.0,0.0,0.1084
2011-12,2011,Ch.XVI  Perinatal,263456.0,221280.0,39949.0,2562.0,0.0,145225.0,0.0,0.1805
2011-12,2011,Ch.XVII  Congenital,124165.0,111140.0,10447.0,62765.0,0.0,71728.0,0.0,0.094
2011-12,2011,Ch.XVIII  Symptoms & signs,1952627.0,1665409.0,1144404.0,408004.0,0.0,918536.0,0.0,0.6872
2011-12,2011,Ch.XXI  Health status factors,1237683.0,1206237.0,44381.0,244546.0,0.0,546201.0,0.0,0.0368
2012-13,2012,Ch.I  Infectious & parasitic,449954.0,351569.0,282611.0,53437.0,11942.0,223211.0,226736.0,0.8039
2012-13,2012,Ch.II  Neoplasms,2163449.0,1984205.0,208280.0,836756.0,927573.0,1059427.0,1103963.0,0.105
2012-13,2012,Ch.IV  Endocrine & metabolic,294761.0,231924.0,104314.0,56658.0,68762.0,145008.0,149743.0,0.4498
2012-13,2012,Ch.IX  Circulatory system,1374131.0,937963.0,498497.0,343483.0,46525.0,777888.0,596206.0,0.5315
2012-13,2012,Ch.V  Mental & behavioural,247108.0,179165.0,134276.0,13243.0,23512.0,132678.0,114317.0,0.7495
2012-13,2012,Ch.VI  Nervous system,395677.0,330747.0,121272.0,135846.0,67929.0,182467.0,213177.0,0.3667
2012-13,2012,Ch.VII/VIII  Eye & Ear,701726.0,692110.0,43519.0,585904.0,61827.0,316207.0,385054.0,0.0629
2012-13,2012,Ch.X  Respiratory system,1289782.0,856021.0,677856.0,138263.0,26708.0,647788.0,641950.0,0.7919
2012-13,2012,Ch.XI  Digestive system,2050391.0,1768260.0,456395.0,1119934.0,184633.0,1014396.0,1035779.0,0.2581
2012-13,2012,Ch.XII  Skin,337611.0,284389.0,135478.0,127824.0,18542.0,172648.0,164944.0,0.4764
2012-13,2012,Ch.XIII  Musculoskeletal,1256126.0,1187649.0,202179.0,786177.0,192207.0,527413.0,728261.0,0.1702
2012-13,2012,Ch.XIV  Genitourinary,1123303.0,917779.0,341480.0,479707.0,87954.0,462223.0,660982.0,0.3721
2012-13,2012,Ch.XIX  Injury & poisoning,1156850.0,968209.0,766696.0,143300.0,30961.0,571165.0,585633.0,0.7919
2012-13,2012,Ch.XV  Pregnancy & childbirth,1336899.0,1297090.0,132790.0,77951.0,16041.0,15.0,1336879.0,0.1024
2012-13,2012,Ch.XVI  Perinatal,274449.0,228751.0,42244.0,2382.0,1947.0,151550.0,122812.0,0.1847
2012-13,2012,Ch.XVII  Congenital,120161.0,106949.0,10399.0,61606.0,19701.0,69644.0,50475.0,0.0972
2012-13,2012,Ch.XVIII  Symptoms & signs,1949090.0,1658750.0,1138627.0,411381.0,74521.0,912118.0,1036900.0,0.6864
2012-13,2012,Ch.XXI  Health status factors,1193569.0,1164101.0,39129.0,244074.0,222077.0,522911.0,670583.0,0.0336
2012-13,2012,Other,9.0,2.0,1.0,0.0,0.0,4.0,5.0,0.5
2013-14,2013,Ch.I  Infectious & parasitic,436450.0,332128.0,265891.0,51389.0,11473.0,213460.0,222968.0,0.8006
2013-14,2013,Ch.II  Neoplasms,2262533.0,2075489.0,201821.0,891772.0,970545.0,1103369.0,1158983.0,0.0972
2013-14,2013,Ch.IV  Endocrine & metabolic,307723.0,239665.0,108738.0,55353.0,73338.0,151104.0,156598.0,0.4537
2013-14,2013,Ch.IX  Circulatory system,1401307.0,952305.0,507245.0,350579.0,48190.0,793952.0,607280.0,0.5326
